Speaker,Age,Gender,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,Agreement2,AgreementComb
36,45,female,fleissig,masc,neut,DAT,non-initial,N2,N2,N1masc-N2neut
36,45,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
36,45,female,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
37,32,male,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
37,32,male,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
37,32,male,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
37,32,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
37,32,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
37,32,male,straff,fem,neut,DAT,non-initial,N2,N2,N1fem-N2neut
37,32,male,blond,fem,masc,GEN,non-initial,N2,N2,N1fem-N2masc
37,32,male,fleissig,masc,neut,DAT,non-initial,D,e,N1masc-N2neut
37,32,male,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
37,32,male,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
39,28,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
39,28,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
39,28,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
39,28,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
39,28,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
39,28,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
39,28,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
39,28,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
39,28,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
39,28,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
39,28,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
39,28,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
40,24,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
40,24,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
40,24,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
40,24,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
40,24,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
40,24,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
40,24,female,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
40,24,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
40,24,female,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
40,24,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
40,24,female,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
40,24,female,verschlafen,neut,fem,GEN,initial,O,Ø,N1neut-N2fem
41,62,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
41,62,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
41,62,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
41,62,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
41,62,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
41,62,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
41,62,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
41,62,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
41,62,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
41,62,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
41,62,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
41,62,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
42,59,male,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
42,59,male,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
42,59,male,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
42,59,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
42,59,male,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
42,59,male,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
42,59,male,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
42,59,male,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
